accession	input_id	mass
P36775	P36775	127112
P37012	P37012	63089
P37020	P37020	87592
P37254	P37254	88544
P37292	P37292	53686
P37296	P37296	101661
P37297	P37297	214607
P37298	P37298	20249
P37299	P37299	8593
P37303	P37303	42815
P37366	P37366	45210
P37370	P37370	82594
P37838	P37838	77825
P38009	P38009	65263
P38011	P38011	34805
P38013	P38013	19115
P38041	P38041	109295
P38042	P38042	85396
P38063	P38063	35720
P38069	P38069	67774
P38071	P38071	42067
P38074	P38074	39786
P38075	P38075	26908
P38077	P38077	34351
P38080	P38080	123989
P38084	P38084	67769
P38085	P38085	68758
P38086	P38086	107946
P38088	P38088	78184
P38109	P38109	57639
P38110	P38110	321524
P38111	P38111	273342
P38112	P38112	87048
P38115	P38115	38884
P38116	P38116	20434
P38121	P38121	78774
P38123	P38123	34754
P38125	P38125	63407
P38128	P38128	49414
P38129	P38129	88968
P38130	P38130	47482
P38132	P38132	94943
P38137	P38137	60489
P38138	P38138	110266
P38139	P38139	43287
P38140	P38140	60311
P38143	P38143	18406
P38144	P38144	131102
P38146	P38146	21834
P38147	P38147	60017
P38149	P38149	98071
P38153	P38153	54837
P38165	P38165	54140
P38167	P38167	123610
P38169	P38169	52429
P38170	P38170	86216
P38174	P38174	47518
P38181	P38181	169475
P38182	P38182	13627
P38198	P38198	174177
P38199	P38199	41683
P38203	P38203	11163
P38205	P38205	77879
P38207	P38207	59445
P38208	P38208	15512
P38211	P38211	50759
P38212	P38212	23887
P38217	P38217	103681
P38221	P38221	51823
P38225	P38225	77141
P38227	P38227	77287
P38228	P38228	64252
P38236	P38236	41433
P38237	P38237	88630
P38238	P38238	34701
P38242	P38242	27035
P38244	P38244	111035
P38247	P38247	18354
P38248	P38248	43769
P38249	P38249	110344
P38250	P38250	105854
P38251	P38251	39942
P38255	P38255	48629
P38257	P38257	78764
P38261	P38261	85538
P38262	P38262	59161
P38263	P38263	41245
P38264	P38264	21137
P38265	P38265	28066
P38270	P38270	40454
P38272	P38272	47417
P38273	P38273	80732
P38274	P38274	95153
P38279	P38279	33497
P38283	P38283	79186
P38285	P38285	62686
P38286	P38286	38708
P38287	P38287	44382
P38289	P38289	67570
P38291	P38291	15814
P38295	P38295	51255
P38297	P38297	97808
P38298	P38298	36420
P38301	P38301	30341
P38304	P38304	25268
P38307	P38307	24391
P38310	P38310	51420
P38313	P38313	37462
P38316	P38316	21106
P38319	P38319	62333
P38323	P38323	57946
P38324	P38324	35857
P38328	P38328	42475
P38329	P38329	123999
P38332	P38332	43308
P38333	P38333	55137
P38334	P38334	19700
P38336	P38336	32881
P38339	P38339	74619
P38340	P38340	26068
P38341	P38341	12388
P38342	P38342	35973
P38344	P38344	45862
P38345	P38345	15504
P38348	P38348	55543
P38351	P38351	51801
P38352	P38352	70495
P38353	P38353	53312
P38356	P38356	35764
P38360	P38360	131875
P38361	P38361	62654
P38426	P38426	118835
P38427	P38427	123018
P38428	P38428	22763
P38429	P38429	23026
P38431	P38431	45261
P38439	P38439	53920
P38523	P38523	26066
P38555	P38555	24469
P38590	P38590	54217
P38604	P38604	83460
P38615	P38615	43005
P38623	P38623	68062
P38624	P38624	23548
P38626	P38626	31494
P38627	P38627	64511
P38628	P38628	62067
P38629	P38629	38204
P38630	P38630	94903
P38631	P38631	214851
P38632	P38632	30354
P38633	P38633	14741
P38634	P38634	32223
P38636	P38636	8221
P38637	P38637	36485
P38689	P38689	35124
P38691	P38691	117082
P38179	P38179	52861
P38692	P38692	117062
P38695	P38695	66251
P38696	P38696	42995
P38697	P38697	56530
P38700	P38700	69990
P38701	P38701	13907
P38703	P38703	48455
P38704	P38704	60792
P38710	P38710	32823
P38711	P38711	8865
P38712	P38712	55969
P38713	P38713	113760
P38715	P38715	37119
P38717	P38717	142820
P38719	P38719	47878
P38720	P38720	53543
P38731	P38731	70899
P38736	P38736	25395
P38741	P38741	80109
P38742	P38742	129973
P38753	P38753	51161
P38755	P38755	49805
P38757	P38757	50642
P38758	P38758	57614
P38764	P38764	109492
P38766	P38766	81581
P38768	P38768	39519
P38770	P38770	53385
P38778	P38778	59768
P38779	P38779	42530
P38781	P38781	101335
P38782	P38782	32819
P38785	P38785	35238
P38786	P38786	32224
P38788	P38788	58238
P38792	P38792	39427
P38793	P38793	56514
P38797	P38797	37782
P38800	P38800	149680
P38801	P38801	21045
P38803	P38803	37867
P38805	P38805	35121
P38806	P38806	32086
P38810	P38810	103950
P38811	P38811	433180
P38815	P38815	24646
P38817	P38817	64347
P38820	P38820	49361
P38821	P38821	54174
P38822	P38822	71171
P38823	P38823	46098
P38825	P38825	71856
P38826	P38826	50296
P38827	P38827	123912
P38830	P38830	71479
P38836	P38836	49829
P38838	P38838	30627
P38840	P38840	58528
P38843	P38843	34898
P38844	P38844	33417
P38850	P38850	123017
P38853	P38853	131094
P38855	P38855	32037
P38856	P38856	71660
P38857	P38857	14555
P38859	P38859	171694
P38861	P38861	59095
P38862	P38862	71428
P38863	P38863	96825
P38869	P38869	26284
P38873	P38873	177609
P38874	P38874	35220
P38875	P38875	68771
P38878	P38878	32063
P38879	P38879	18709
P38881	P38881	36421
P38882	P38882	65271
P38883	P38883	86739
P38886	P38886	29747
P38888	P38888	91246
P38889	P38889	69202
P38890	P38890	60547
P38891	P38891	43596
P38894	P38894	111982
P38902	P38902	13616
P38903	P38903	85335
P38907	P38907	52672
P38910	P38910	11372
P38911	P38911	46553
P38912	P38912	17435
P38915	P38915	66190
P38920	P38920	87062
P38922	P38922	52142
P38925	P38925	63264
P38927	P38927	28760
P38928	P38928	90783
P38929	P38929	130861
P38930	P38930	29842
P38931	P38931	160001
P38932	P38932	67017
P38934	P38934	54639
P38953	P38953	46350
P38954	P38954	60873
P38956	P38956	18667
P38959	P38959	113412
P38960	P38960	57511
P38961	P38961	45985
P38967	P38967	65404
P38968	P38968	138717
P38970	P38970	95455
P38987	P38987	27296
P38989	P38989	133928
P38990	P38990	126872
P38991	P38991	42946
P38992	P38992	40734
P38993	P38993	72360
P38994	P38994	89320
P38995	P38995	109829
P38996	P38996	90439
P38998	P38998	41465
P39001	P39001	91124
P39002	P39002	77947
P39003	P39003	62705
P39004	P39004	62735
P39006	P39006	56595
P39007	P39007	81529
P39008	P39008	49682
P39009	P39009	58633
P39010	P39010	85840
P39013	P39013	40297
P39014	P39014	72835
P39015	P39015	29995
P39016	P39016	95422
P39073	P39073	62847
P39081	P39081	71898
P39083	P39083	112832
P39104	P39104	119923
P39105	P39105	71667
P39107	P39107	45955
P39108	P39108	42323
P39109	P39109	171121
P39111	P39111	13461
P39112	P39112	110822
P39515	P39515	16584
P39516	P39516	14650
P39517	P39517	57544
P39518	P39518	83438
P39520	P39520	122492
P39521	P39521	103502
P39522	P39522	62861
P39524	P39524	153765
P39531	P39531	97471
P39533	P39533	86583
P39538	P39538	143192
P39540	P39540	36234
P39552	P39552	27091
P39676	P39676	44646
P39678	P39678	93908
P39683	P39683	49019
P39685	P39685	151653
P39702	P39702	144962
P39704	P39704	24064
P39705	P39705	59039
P39706	P39706	48655
P39707	P39707	31313
P39714	P39714	41582
P39717	P39717	98656
P39719	P39719	87469
P39720	P39720	118891
P39722	P39722	75150
P39723	P39723	72106
P39726	P39726	18793
P39727	P39727	46235
P39729	P39729	40701
P39730	P39730	112268
P39731	P39731	33243
P39742	P39742	21607
P39743	P39743	52774
P39744	P39744	81601
P39875	P39875	80162
P39904	P39904	74333
P39923	P39923	69859
P39925	P39925	84544
P39926	P39926	33734
P39928	P39928	134435
P39929	P39929	26987
P39935	P39935	107101
P39936	P39936	103899
P39940	P39940	91816
P39943	P39943	43119
P39946	P39946	56901
P39952	P39952	44816
P39956	P39956	90211
P39958	P39958	51206
P39960	P39960	245430
P39962	P39962	60261
P39966	P39966	50388
P39968	P39968	63208
P39969	P39969	115688
P39976	P39976	55225
P39979	P39979	18814
P39984	P39984	45060
P39985	P39985	115894
P39986	P39986	135269
P39990	P39990	13569
P39993	P39993	165668
P39995	P39995	31644
P39997	P39997	57355
P39998	P39998	61340
P40009	P40009	71852
P40010	P40010	57709
P40011	P40011	25563
P40013	P40013	38362
P40014	P40014	25244
P40015	P40015	53940
P40016	P40016	60393
P40018	P40018	22379
P40021	P40021	119350
P40024	P40024	68377
P40028	P40028	87364
P40032	P40032	74041
P40034	P40034	56530
P40046	P40046	14371
P40047	P40047	56693
P40048	P40048	105224
P40054	P40054	51193
P40055	P40055	62317
P40056	P40056	31493
P40059	P40059	73048
P40061	P40061	164368
P40063	P40063	24413
P40064	P40064	156649
P40065	P40065	35753
P40066	P40066	40523
P40068	P40068	86835
P40069	P40069	122601
P40070	P40070	21276
P40072	P40072	30764
P40073	P40073	41126
P40075	P40075	26926
P40078	P40078	29723
P40084	P40084	26240
P40086	P40086	54658
P40087	P40087	47354
P40089	P40089	10423
P40090	P40090	72141
P40091	P40091	48165
P40094	P40094	92544
P40096	P40096	15517
P40106	P40106	27814
P40107	P40107	37019
P40150	P40150	66595
P40151	P40151	66544
P40152	P40152	37151
P40160	P40160	49125
P40161	P40161	51621
P40164	P40164	98053
P40167	P40167	34318
P40186	P40186	32037
P40202	P40202	27330
P40204	P40204	8482
P40208	P40208	51729
P40215	P40215	62774
P40217	P40217	38755
P40218	P40218	46677
P40219	P40219	16384
P40302	P40302	25604
P40303	P40303	28439
P40308	P40308	73613
P40316	P40316	41838
P40318	P40318	151455
P40319	P40319	39465
P40327	P40327	48828
P40335	P40335	42547
P40339	P40339	36149
P40340	P40340	157407
P40341	P40341	93276
P40343	P40343	70974
P40344	P40344	35887
P40345	P40345	75393
P40348	P40348	39742
P40352	P40352	124528
P40353	P40353	61036
P40356	P40356	43079
P40357	P40357	73624
P40358	P40358	75144
P40359	P40359	25061
P40360	P40360	65610
P40362	P40362	66424
P40367	P40367	94851
P40368	P40368	82085
P40395	P40395	121650
P40414	P40414	19093
P40416	P40416	77522
P40422	P40422	7716
P40438	P40438	174428
P40450	P40450	156852
P40453	P40453	123134
P40454	P40454	45082
P40457	P40457	195141
P40458	P40458	58969
P40460	P40460	80487
P40462	P40462	107723
P40465	P40465	24953
P40466	P40466	53490
P40469	P40469	117883
P40471	P40471	32814
P40472	P40472	48190
P40477	P40477	158908
P40479	P40479	23886
P40482	P40482	103636
P40484	P40484	35882
P40485	P40485	77995
P40487	P40487	48311
P40489	P40489	72687
P40492	P40492	59894
P40494	P40494	91032
P40495	P40495	40069
P40498	P40498	83991
P40501	P40501	53737
P40505	P40505	37625
P40506	P40506	41867
P40507	P40507	41631
P40509	P40509	33829
P40510	P40510	51188
P40515	P40515	17733
P40526	P40526	30306
P40527	P40527	130218
P40530	P40530	45444
P40535	P40535	65264
P40537	P40537	116883
P40540	P40540	15907
P40541	P40541	133009
P40548	P40548	18306
P40553	P40553	24120
P40554	P40554	11028
P40556	P40556	41954
P40557	P40557	81219
P40558	P40558	31922
P40559	P40559	108430
P40562	P40562	114058
P40563	P40563	74763
P40564	P40564	48575
P40565	P40565	17098
P40568	P40568	65692
P40571	P40571	16344
P40573	P40573	21590
P40577	P40577	42826
P40581	P40581	18641
P40693	P40693	36559
P40825	P40825	110059
P40850	P40850	94495
P40851	P40851	138332
P40857	P40857	24511
P40917	P40917	32975
P40955	P40955	86042
P40956	P40956	44407
P40957	P40957	87651
P40958	P40958	22284
P40959	P40959	59657
P40961	P40961	31427
P40963	P40963	39206
P40968	P40968	52048
P40969	P40969	71358
P40970	P40970	63111
P40988	P40988	62792
P40989	P40989	216990
P40991	P40991	69812
P40992	P40992	60357
P40993	P40993	22541
P40994	P40994	20696
P41056	P41056	12168
P41277	P41277	27947
P41318	P41318	34034
P41338	P41338	41729
P41543	P41543	54072
P41546	P41546	26905
P41695	P41695	117868
P41696	P41696	101170
P41697	P41697	88817
P41735	P41735	26060
P41800	P41800	48660
P41805	P41805	25361
P41807	P41807	54416
P41808	P41808	44300
P41809	P41809	188948
P41810	P41810	109019
P41811	P41811	99445
P41812	P41812	100395
P41813	P41813	94374
P41816	P41816	44920
P41821	P41821	61575
P41832	P41832	219673
P41833	P41833	69396
P41834	P41834	40539
P41835	P41835	58059
P41895	P41895	82194
P41896	P41896	46605
P41901	P41901	59845
P40897	P40897	91616
P41909	P41909	100025
P41911	P41911	49422
P41920	P41920	22953
P41921	P41921	53441
P41939	P41939	46562
P41948	P41948	53401
P42073	P42073	59819
P42835	P42835	108525
P42836	P42836	39184
P42837	P42837	101746
P42838	P42838	47438
P42839	P42839	102499
P42844	P42844	19855
P42845	P42845	45684
P42935	P42935	89411
P42939	P42939	11968
P42945	P42945	200082
P42949	P42949	16216
P42951	P42951	70217
P43122	P43122	45543
P43123	P43123	53476
P43132	P43132	58347
P43321	P43321	11224
P43497	P43497	8911
P43534	P43534	38592
P43535	P43535	85027
P43555	P43555	50330
P43558	P43558	33510
P43561	P43561	70880
P43563	P43563	33276
P43564	P43564	119510
P43565	P43565	196531
P43567	P43567	41907
P43571	P43571	117755
P43572	P43572	96738
P43573	P43573	91422
P43583	P43583	245996
P43585	P43585	95441
P43586	P43586	23590
P43587	P43587	18187
P43588	P43588	34398
P43593	P43593	57111
P43594	P43594	18855
P43601	P43601	55102
P43602	P43602	79709
P43603	P43603	49344
P43605	P43605	31845
P43609	P43609	63168
P43612	P43612	115002
P43616	P43616	52871
P43618	P43618	41313
P43621	P43621	60628
P43633	P43633	86087
P43635	P43635	53811
P43636	P43636	58047
P43637	P43637	62091
P43639	P43639	32265
P43682	P43682	10961
P45818	P45818	63653
P45978	P45978	39190
P46367	P46367	56724
P46654	P46654	27962
P46655	P46655	80843
P46669	P46669	36224
P46672	P46672	42084
P46673	P46673	84898
P46674	P46674	149569
P46675	P46675	100918
P46676	P46676	118201
P46677	P46677	120696
P46678	P46678	67688
P46680	P46680	67326
P46681	P46681	59268
P46682	P46682	91607
P46943	P46943	73188
P46944	P46944	80495
P46946	P46946	40097
P46947	P46947	30472
P46948	P46948	27561
P46951	P46951	95366
P46957	P46957	55296
P46959	P46959	43920
P46962	P46962	37905
P46963	P46963	34809
P46964	P46964	14698
P46971	P46971	87966
P46972	P46972	19930
P46984	P46984	13605
P46985	P46985	47859
P46989	P46989	30201
P46990	P46990	20551
P46995	P46995	84461
P47001	P47001	23242
P47002	P47002	77527
P47006	P47006	26875
P47008	P47008	34388
P47011	P47011	44546
P47013	P47013	47372
P47016	P47016	34693
P47017	P47017	20307
P47024	P47024	207710
P47025	P47025	80032
P47026	P47026	55466
P47027	P47027	87241
P47029	P47029	117216
P47032	P47032	30634
P47033	P47033	89153
P47035	P47035	128531
P47037	P47037	141336
P47039	P47039	50082
P47041	P47041	60841
P47043	P47043	98866
P47045	P47045	54183
P47047	P47047	122055
P47050	P47050	99326
P47054	P47054	191535
P47057	P47057	49002
P47058	P47058	28252
P47061	P47061	95449
P47068	P47068	128297
P47069	P47069	79175
P47074	P47074	59521
P47075	P47075	83155
P47076	P47076	18596
P47077	P47077	77722
P47082	P47082	65346
P47083	P47083	66953
P47093	P47093	12385
P47096	P47096	20235
P47098	P47098	198652
P47100	P47100	198618
P47102	P47102	159437
P47103	P47103	45134
P47104	P47104	154933
P47110	P47110	40310
P47112	P47112	68405
P47113	P47113	66086
P47114	P47114	57517
P47116	P47116	91400
P47119	P47119	22093
P47120	P47120	36165
P47122	P47122	43195
P47124	P47124	46297
P47128	P47128	12895
P47130	P47130	49482
P47134	P47134	108667
P47136	P47136	164486
P47142	P47142	23558
P47143	P47143	36372
P47154	P47154	52324
P47156	P47156	84984
P47158	P47158	57055
P47160	P47160	45091
P47164	P47164	72351
P47169	P47169	161219
P47170	P47170	181949
P47171	P47171	191680
P47176	P47176	41625
P47178	P47178	29606
P47190	P47190	86323
P47818	P47818	34250
P47821	P47821	37791
P47822	P47822	16071
P47912	P47912	77267
P47977	P47977	32314
P48016	P48016	136921
P48164	P48164	21634
P48231	P48231	132509
P48236	P48236	51647
P48237	P48237	101423
P48240	P48240	27577
P48360	P48360	56237
P48412	P48412	44924
P48415	P48415	241696
P48439	P48439	39483
P48445	P48445	76363
P48510	P48510	39346
P48524	P48524	109174
P48558	P48558	33645
P48559	P48559	47116
P48561	P48561	74179
P48562	P48562	93909
P48563	P48563	186836
P48566	P48566	72999
P48581	P48581	45580
P48582	P48582	97276
P48813	P48813	73598
P48836	P48836	12713
P48837	P48837	57499
P49017	P49017	34685
P49018	P49018	47402
P49095	P49095	114451
P49166	P49166	9850
P49334	P49334	16790
P49435	P49435	20587
P49573	P49573	44442
P49626	P49626	39062
P49686	P49686	42778
P49687	P49687	145661
P49704	P49704	56303
P49723	P49723	40055
P49775	P49775	23542
P49955	P49955	110028
P49956	P49956	84373
P49957	P49957	32439
P50076	P50076	61793
P50078	P50078	69471
P50079	P50079	51235
P50082	P50082	67027
P50085	P50085	34407
P50087	P50087	26912
P50090	P50090	99975
P50091	P50091	33050
P50094	P50094	56394
P50095	P50095	56585
P50101	P50101	143564
P50102	P50102	53623
P50105	P50105	42336
P50106	P50106	14585
P50107	P50107	37209
P50108	P50108	46748
P50110	P50110	37493
P50111	P50111	103358
P50264	P50264	57806
P50275	P50275	101624
P50623	P50623	17911
P50861	P50861	18556
P50874	P50874	55289
P50875	P50875	67796
P50942	P50942	133331
P50945	P50945	26960
P50947	P50947	37024
P51402	P51402	9868
P51601	P51601	27769
P51862	P51862	152596
P51979	P51979	135072
P51996	P51996	24520
P52286	P52286	22330
P52488	P52488	71259
P52489	P52489	55195
P52490	P52490	17468
P52491	P52491	21203
P52553	P52553	13284
P52593	P52593	188577
P52870	P52870	8711
P52871	P52871	9606
P52891	P52891	83635
P52910	P52910	75492
P52917	P52917	48172
P52920	P52920	35253
P52960	P52960	114711
P53008	P53008	96507
P53010	P53010	127039
P53011	P53011	39123
P53012	P53012	42735
P53032	P53032	33191
P53035	P53035	42048
P53037	P53037	130065
P53038	P53038	78687
P53039	P53039	27080
P53040	P53040	57902
P53043	P53043	57995
P53044	P53044	39810
P53045	P53045	36479
P53048	P53048	67980
P53049	P53049	166728
P53051	P53051	68592
P53061	P53061	82816
P53063	P53063	44510
P53064	P53064	65869
P53067	P53067	113921
P53068	P53068	28777
P53076	P53076	108179
P53079	P53079	48337
P53082	P53082	14102
P53083	P53083	51990
P53086	P53086	91090
P53088	P53088	39987
P53090	P53090	56178
P53091	P53091	112978
P53093	P53093	25995
P53095	P53095	47828
P53096	P53096	51455
P53104	P53104	101717
P53109	P53109	65840
P53112	P53112	38420
P53114	P53114	128794
P53115	P53115	171455
P53119	P53119	105566
P53127	P53127	163203
P53129	P53129	73478
P53131	P53131	87562
P53135	P53135	77298
P53137	P53137	72043
P53140	P53140	74596
P53141	P53141	16444
P53144	P53144	25297
P53145	P53145	72728
P53146	P53146	28107
P53148	P53148	104826
P53150	P53150	48259
P53152	P53152	15545
P53154	P53154	65340
P53157	P53157	14995
P53159	P53159	44585
P53163	P53163	20650
P53164	P53164	43516
P53165	P53165	72878
P53166	P53166	63058
P53168	P53168	27473
P53170	P53170	57294
P53173	P53173	15930
P53176	P53176	27241
P53178	P53178	22661
P53184	P53184	24993
P53191	P53191	70617
P53192	P53192	27092
P53193	P53193	21778
P53195	P53195	31775
P53196	P53196	46383
P53197	P53197	62821
P53199	P53199	38706
P53201	P53201	55213
P53204	P53204	44909
P53207	P53207	71383
P53208	P53208	37937
P53215	P53215	27757
P53218	P53218	18210
P53219	P53219	38511
P53223	P53223	27649
P53224	P53224	25245
P53230	P53230	44200
P53236	P53236	106669
P53238	P53238	38342
P53250	P53250	37071
P53251	P53251	24069
P53252	P53252	38349
P53254	P53254	140485
P53255	P53255	58206
P53256	P53256	24407
P53259	P53259	38815
P53261	P53261	69877
P53262	P53262	29678
P53264	P53264	52045
P53266	P53266	45056
P53267	P53267	38422
P53271	P53271	30325
P53276	P53276	80191
P53277	P53277	24803
P53281	P53281	26139
P53286	P53286	47168
P53290	P53290	38600
P53294	P53294	46816
P53296	P53296	61898
P53297	P53297	78781
P53298	P53298	47349
P53299	P53299	11286
P53301	P53301	52758
P53303	P53303	55072
P53309	P53309	64328
P53311	P53311	16230
P53314	P53314	26732
P53317	P53317	22320
P53318	P53318	53527
P53323	P53323	29936
P53324	P53324	48541
P53327	P53327	224850
P53330	P53330	17795
P53334	P53334	40173
P53335	P53335	31312
P53378	P53378	52627
P53379	P53379	64269
P53397	P53397	42781
P53507	P53507	6870
P53538	P53538	23469
P53540	P53540	98227
P53541	P53541	72187
P53549	P53549	49408
P53550	P53550	108667
P53551	P53551	27804
P53552	P53552	183931
P53598	P53598	35032
P53599	P53599	180528
P53604	P53604	23351
P53615	P53615	24859
P53616	P53616	43442
P53617	P53617	63859
P53622	P53622	135607
P53628	P53628	63871
P53632	P53632	66031
P53633	P53633	19412
P53685	P53685	57702
P53686	P53686	39979
P53687	P53687	50524
P53688	P53688	41765
P53691	P53691	42072
P53720	P53720	42816
P53721	P53721	25344
P53722	P53722	26890
P53725	P53725	21142
P53729	P53729	48122
P53730	P53730	62672
P53731	P53731	39566
P53734	P53734	70362
P53738	P53738	15066
P53739	P53739	100546
P53740	P53740	44542
P53741	P53741	57674
P53742	P53742	55489
P53743	P53743	36408
P53746	P53746	82015
P53753	P53753	121064
P53759	P53759	48131
P53769	P53769	29741
P53829	P53829	41155
P53832	P53832	52292
P53833	P53833	22612
P53838	P53838	65028
P53839	P53839	38831
P53840	P53840	141120
P53843	P53843	34496
P53844	P53844	40678
P53845	P53845	35498
P53846	P53846	18896
P53847	P53847	88072
P53848	P53848	93120
P53853	P53853	30615
P53855	P53855	178414
P53859	P53859	31583
P53860	P53860	40714
P53865	P53865	67400
P53866	P53866	86950
P53867	P53867	55143
P53868	P53868	63777
P53871	P53871	40181
P53872	P53872	21966
P53874	P53874	88531
P53877	P53877	61773
P53879	P53879	36818
P53886	P53886	196162
P53890	P53890	49694
P53893	P53893	124464
P53894	P53894	86946
P53895	P53895	32986
P53896	P53896	22383
P53897	P53897	18051
P53899	P53899	31517
P53901	P53901	46226
P53904	P53904	28354
P53905	P53905	13006
P53909	P53909	39635
P53911	P53911	49391
P53914	P53914	119348
P53915	P53915	27690
P53917	P53917	109793
P53919	P53919	54949
P53920	P53920	110881
P53923	P53923	56473
P53924	P53924	57584
P53927	P53927	25447
P53930	P53930	25981
P53933	P53933	66134
P53939	P53939	45908
P53940	P53940	58889
P53941	P53941	33482
P53942	P53942	34875
P53943	P53943	65296
P53950	P53950	128140
P53951	P53951	45604
P53954	P53954	63143
P53955	P53955	74785
P53959	P53959	96976
P53965	P53965	32755
P53968	P53968	76301
P53969	P53969	54406
P53972	P53972	56177
P53973	P53973	80070
P53974	P53974	71373
P53978	P53978	115869
P53981	P53981	27481
P53983	P53983	77649
P54000	P54000	33102
P54003	P54003	33830
P54070	P54070	52128
P54074	P54074	71444
P54113	P54113	65282
P54115	P54115	54414
P54199	P54199	86772
P54780	P54780	24422
P54781	P54781	61334
P54783	P54783	59494
P54784	P54784	104400
P54785	P54785	54382
P54786	P54786	105496
P54787	P54787	52483
P54790	P54790	72077
P54791	P54791	60705
P54837	P54837	24106
P54854	P54854	62931
P54857	P54857	37500
P54860	P54860	109916
P54861	P54861	84972
P54862	P54862	62733
P54867	P54867	39270
P54999	P54999	9660
P57743	P57743	10030
P60010	P60010	41690
P61829	P61829	7759
P61830	P61830	15356
P62651	P62651	8039
P69771	P69771	23091
P69850	P69850	10848
P69851	P69851	8155
P69852	P69852	8088
P80210	P80210	48279
P80428	P80428	54832
P80667	P80667	42706
P80967	P80967	5985
P81449	P81449	10876
P81450	P81450	6688
P87108	P87108	10305
P89102	P89102	112121
P89105	P89105	124709
Q00055	Q00055	42869
Q00245	Q00245	25312
Q00246	Q00246	32186
Q00362	Q00362	59662
Q00381	Q00381	17373
Q00402	Q00402	313033
Q00416	Q00416	252497
Q00539	Q00539	56972
Q00578	Q00578	95341
Q00582	Q00582	35847
Q00618	Q00618	39675
Q00684	Q00684	61907
Q00711	Q00711	70229
Q00764	Q00764	56148
Q00772	Q00772	55636
Q00776	Q00776	53874
Q00816	Q00816	112616
Q00916	Q00916	34447
Q00947	Q00947	58088
Q00955	Q00955	250353
Q01080	Q01080	46651
Q01159	Q01159	52764
Q01217	Q01217	94869
Q01389	Q01389	164195
Q01448	Q01448	67775
Q01454	Q01454	104425
Q01476	Q01476	146355
Q01477	Q01477	101917
Q01519	Q01519	9788
Q01532	Q01532	55483
Q01560	Q01560	45407
Q01574	Q01574	79141
Q01589	Q01589	34431
Q01590	Q01590	38807
Q01649	Q01649	69070
Q01662	Q01662	43373
Q01722	Q01722	58062
Q01852	Q01852	48854
Q01855	Q01855	16002
Q01896	Q01896	120317
Q01919	Q01919	90088
Q01926	Q01926	54203
Q01939	Q01939	45272
Q02046	Q02046	36240
Q02100	Q02100	70192
Q02159	Q02159	18520
Q02199	Q02199	49142
Q02201	Q02201	51588
Q02205	Q02205	20242
Q02207	Q02207	98703
Q02256	Q02256	41185
Q02260	Q02260	16275
Q02326	Q02326	19962
Q02336	Q02336	50569
Q02354	Q02354	52418
Q02455	Q02455	218456
Q02457	Q02457	62824
Q02486	Q02486	21562
Q02555	Q02555	54071
Q02574	Q02574	53146
Q02629	Q02629	99988
Q02630	Q02630	116234
Q02642	Q02642	17020
Q02647	Q02647	10441
Q02685	Q02685	26860
Q02724	Q02724	72378
Q02725	Q02725	96553
Q02732	Q02732	42782
Q02733	Q02733	54156
Q02767	Q02767	27702
Q02773	Q02773	139348
Q02774	Q02774	23512
Q02775	Q02775	44637
Q02776	Q02776	55099
Q02784	Q02784	16931
Q02785	Q02785	171065
P53858	P53858	100590
Q02792	Q02792	115934
Q02793	Q02793	44232
Q02794	Q02794	50261
Q02795	Q02795	31653
Q02804	Q02804	22782
Q02805	Q02805	92349
Q02821	Q02821	60441
Q02884	Q02884	51156
Q02887	Q02887	55188
Q02888	Q02888	21842
Q02890	Q02890	42485
Q02892	Q02892	74410
Q02896	Q02896	37231
Q02908	Q02908	63657
Q02931	Q02931	101237
Q02933	Q02933	50171
Q02939	Q02939	58535
Q02948	Q02948	63261
Q02950	Q02950	39445
Q02959	Q02959	79200
Q03002	Q03002	97693
Q03010	Q03010	51022
Q03012	Q03012	41468
Q03018	Q03018	187447
Q03020	Q03020	17895
Q03034	Q03034	56164
Q03048	Q03048	15901
Q03063	Q03063	49356
Q03067	Q03067	11285
Q03071	Q03071	11328
Q03081	Q03081	19557
Q03096	Q03096	20555
Q03103	Q03103	65033
Q03124	Q03124	65218
Q03125	Q03125	26743
Q03144	Q03144	24907
Q03148	Q03148	31817
Q03162	Q03162	72251
Q03178	Q03178	34622
Q03180	Q03180	33004
Q03195	Q03195	68340
Q03213	Q03213	79416
Q03262	Q03262	71069
Q03280	Q03280	374185
Q03290	Q03290	38128
Q03305	Q03305	47469
Q03308	Q03308	92741
Q03322	Q03322	25817
Q03330	Q03330	51069
Q03337	Q03337	31722
Q03373	Q03373	36879
Q03388	Q03388	90580
Q03390	Q03390	25862
Q03406	Q03406	33948
Q03407	Q03407	86253
Q03433	Q03433	32021
Q03434	Q03434	198572
Q03435	Q03435	23857
Q03455	Q03455	80578
Q03465	Q03465	60153
Q03466	Q03466	100000
Q03494	Q03494	202095
Q03496	Q03496	163577
Q03497	Q03497	102362
Q03503	Q03503	20457
Q03529	Q03529	44881
Q03532	Q03532	56717
Q03533	Q03533	66220
Q03554	Q03554	15431
Q03557	Q03557	50919
Q03558	Q03558	45011
Q03612	Q03612	198562
Q03619	Q03619	198570
Q03630	Q03630	18434
Q03631	Q03631	107561
Q03640	Q03640	171076
Q03649	Q03649	51438
Q03654	Q03654	67731
Q03655	Q03655	56794
Q03656	Q03656	83238
Q03660	Q03660	128131
Q03674	Q03674	75455
Q03677	Q03677	20879
Q03687	Q03687	46872
