accession	input_id	cc_subunit
P09201	P09201	SUBUNIT: Homotetramer. {ECO:0000250|UniProtKB:P00636}.
P09232	P09232	NA
P09440	P09440	SUBUNIT: Homodimer. {ECO:0000269|PubMed:3528153}.
P09547	P09547	SUBUNIT: Component of the SWI/SNF global transcription activator complex. The 1.14 MDa SWI/SNF complex is composed of 11 different subunits: one copy each of SWI1, SNF2/SWI2, SNF5, SNF12/SWP73, ARP7/SWP61, ARP9/SWP59; two copies each of SWI3, SNF6, SNF11, SWP82; and three copies of TAF14/SWP29.
P09620	P09620	NA
P09624	P09624	SUBUNIT: LPD1 is a homodimer. Eukaryotic pyruvate dehydrogenase (PDH) complexes are organized as a core consisting of the oligomeric dihydrolipoamide acetyl-transferase (E2), around which are arranged multiple copies of pyruvate dehydrogenase (E1), dihydrolipoamide dehydrogenase (E3) and protein X (E3BP) bound by non-covalent bonds (PubMed:12756305, PubMed:9538259, Ref.13). Component of the 2-oxoglutarate dehydrogenase complex (OGDC), also called alpha-ketoglutarate dehydrogenase (KGDH) complex. The copmplex is composed of the catalytic subunits OGDH (2-oxoglutarate dehydrogenase KGD1; also called E1 subunit), DLST (dihydrolipoamide succinyltransferase KGD2; also called E2 subunit) and DLD (dihydrolipoamide dehydrogenase LPD1; also called E3 subunit), and the assembly factor KGD4 (PubMed:2072900, PubMed:25165143). LPD1 is a component of the glycine decarboxylase complex (GDC), which is composed of four proteins: P, T, L and H (PubMed:7498764). {ECO:0000269|PubMed:12756305, ECO:0000269|PubMed:2072900, ECO:0000269|PubMed:25165143, ECO:0000269|PubMed:7498764, ECO:0000269|PubMed:9538259, ECO:0000269|Ref.13}.
P09733	P09733	SUBUNIT: Dimer of alpha and beta chains (PubMed:11739794). A typical microtubule is a hollow water-filled tube with an outer diameter of 25 nm and an inner diameter of 15 nM. Alpha-beta heterodimers associate head-to-tail to form protofilaments running lengthwise along the microtubule wall with the beta-tubulin subunit facing the microtubule plus end conferring a structural polarity. Microtubules usually have 13 protofilaments but different protofilament numbers can be found in some organisms and specialized cells. {ECO:0000269|PubMed:11739794}.
P09734	P09734	SUBUNIT: Dimer of alpha and beta chains. A typical microtubule is a hollow water-filled tube with an outer diameter of 25 nm and an inner diameter of 15 nM. Alpha-beta heterodimers associate head-to-tail to form protofilaments running lengthwise along the microtubule wall with the beta-tubulin subunit facing the microtubule plus end conferring a structural polarity. Microtubules usually have 13 protofilaments but different protofilament numbers can be found in some organisms and specialized cells. Interacts with NUM1. {ECO:0000269|PubMed:11266443}.
P09798	P09798	SUBUNIT: The APC/C is composed of at least 13 subunits that stay tightly associated throughout the cell cycle: APC1, APC2, APC4, APC5, APC9, APC11, CDC16, CDC23, CDC26, CDC27, DOC1, MND2 and SWM1. Interacts with AMA1. {ECO:0000269|PubMed:11114178, ECO:0000269|PubMed:15060174, ECO:0000269|PubMed:7925276}.
P09880	P09880	NA
P09938	P09938	SUBUNIT: Heterotetramer of two large (R1) and two small (R2) subunits. S.cerevisiae has two different R1 subunits (RNR1 and RNR3) and two different R2 subunits (RNR2 and RNR4). The functional form of the small subunits is a RNR2-RNR4 heterodimer, where RNR2 provides the iron-radical center and RNR4 is required for proper folding of RNR2 and assembly with the large subunits. Under normal growth conditions, the active form of the large subunits is a homodimer of the constitutively expressed RNR1. In damaged cells or cells arrested for DNA synthesis, the reductase consists of multiple species because of the association of the small subunits (RNR2-RNR4) with either the RNR1 homodimer or a heterodimer of RNR1 and the damage-inducible RNR3. Interacts with DIF1. {ECO:0000269|PubMed:10535923, ECO:0000269|PubMed:10716984, ECO:0000269|PubMed:18851834}.
P09950	P09950	SUBUNIT: Homodimer (PubMed:6381051). Interacts with MCX1 (PubMed:25957689). {ECO:0000269|PubMed:25957689, ECO:0000269|PubMed:6381051}.
P09959	P09959	SUBUNIT: Component of the transcription complex MCB-binding factor (MBF) composed of SWI6 and MBP1. Component of the transcription complex SCB-binding factor (SBF) composed of SWI6 and SWI4. Interacts with MSA1 and STB1. {ECO:0000269|PubMed:10409718, ECO:0000269|PubMed:18160399}.
P0C0T4	P0C0T4	SUBUNIT: Component of the small ribosomal subunit (SSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0C0V8	P0C0V8	SUBUNIT: Component of the small ribosomal subunit (SSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0C0W9	P0C0W9	SUBUNIT: Component of the large ribosomal subunit (LSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). uL5 forms a heterotrimeric complex with uL18/RPL5 and SYO1. Interaction of this complex with KAP104 allows the nuclear import of the heterotrimer (PubMed:23118189). {ECO:0000269|PubMed:22096102, ECO:0000269|PubMed:23118189, ECO:0000305|PubMed:9559554}.
P0C0X0	P0C0X0	SUBUNIT: Component of the small ribosomal subunit (SSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0C2I2	P0C2I2	SUBUNIT: The capsid protein forms a homotrimer, from which the VLPs are assembled. The protease is a homodimer, whose active site consists of two apposed aspartic acid residues (By similarity). {ECO:0000250}.
P0C2I3	P0C2I3	SUBUNIT: The capsid protein forms a homotrimer, from which the VLPs are assembled. The protease is a homodimer, whose active site consists of two apposed aspartic acid residues (By similarity). {ECO:0000250}.
P0C2I5	P0C2I5	SUBUNIT: The capsid protein forms a homotrimer, from which the VLPs are assembled. The protease is a homodimer, whose active site consists of two apposed aspartic acid residues (By similarity). {ECO:0000250}.
P0C2I6	P0C2I6	SUBUNIT: The capsid protein forms a homotrimer, from which the VLPs are assembled. The protease is a homodimer, whose active site consists of two apposed aspartic acid residues (By similarity). {ECO:0000250}.
P0C2I7	P0C2I7	SUBUNIT: The capsid protein forms a homotrimer, from which the VLPs are assembled. The protease is a homodimer, whose active site consists of two apposed aspartic acid residues (By similarity). {ECO:0000250}.
P0C2I9	P0C2I9	SUBUNIT: The capsid protein forms a homotrimer, from which the VLPs are assembled. The protease is a homodimer, whose active site consists of two apposed aspartic acid residues (By similarity). {ECO:0000250}.
P0C2J0	P0C2J0	SUBUNIT: The capsid protein forms a homotrimer, from which the VLPs are assembled. The protease is a homodimer, whose active site consists of two apposed aspartic acid residues (By similarity). {ECO:0000250}.
P0C2J1	P0C2J1	SUBUNIT: The capsid protein forms a homotrimer, from which the VLPs are assembled. The protease is a homodimer, whose active site consists of two apposed aspartic acid residues (By similarity). {ECO:0000250}.
P0C2J3	P0C2J3	SUBUNIT: The capsid protein forms a homotrimer, from which the VLPs are assembled. The protease is a homodimer, whose active site consists of two apposed aspartic acid residues (By similarity). {ECO:0000250}.
P0C2J5	P0C2J5	SUBUNIT: The capsid protein forms a homotrimer, from which the VLPs are assembled. The protease is a homodimer, whose active site consists of two apposed aspartic acid residues (By similarity). {ECO:0000250}.
P0C2J7	P0C2J7	SUBUNIT: The protease is a homodimer, whose active site consists of two apposed aspartic acid residues. {ECO:0000250}.
P0C5R9	P0C5R9	SUBUNIT: V-ATPase is a heteromultimeric enzyme composed of a peripheral catalytic V1 complex (components A to H) attached to an integral membrane V0 proton pore complex (components: a, c, c', c'', d, e, f and VOA1). {ECO:0000269|PubMed:29526695, ECO:0000269|PubMed:30910982, ECO:0000269|PubMed:33028525}.
P0CD91	P0CD91	NA
P0CE41	P0CE41	SUBUNIT: Binds DNA as a homodimer. Interacts with SRO9 and YDJ1. In the absence of heme, binds to at least four cellular proteins, including YDJ1 and SRO9, forming a high-molecular-weight complex (HMC) which results in repression of its activity and dictates its DNA-binding specificity (By similarity). {ECO:0000250}.
P0CG63	P0CG63	NA
P0CH08	P0CH08	SUBUNIT: [Large ribosomal subunit protein eL40A]: Component of the large ribosomal subunit (LSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CH09	P0CH09	SUBUNIT: [Large ribosomal subunit protein eL40B]: Component of the large ribosomal subunit (LSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CS90	P0CS90	SUBUNIT: Component of the PAM complex, at least composed of SSC1 (mtHsp70), MGE1, TIM44, PAM16/TIM16, PAM17 and PAM18/TIM14. In the complex, SSC1 interacts directly with PAM18 and TIM44. Interacts with NAP1. {ECO:0000269|PubMed:12032075, ECO:0000269|PubMed:14517234, ECO:0000269|PubMed:16107694, ECO:0000269|PubMed:18086883}.
P0CT04	P0CT04	SUBUNIT: Part of the heterodimeric LMA1 complex together with the thioredoxin II/TRX2. LMA1 binds to the ATPase SEC18. {ECO:0000269|PubMed:9015301, ECO:0000269|PubMed:9657146}.
P0CX25	P0CX25	SUBUNIT: Component of the large ribosomal subunit (LSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX26	P0CX26	SUBUNIT: Component of the large ribosomal subunit (LSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX27	P0CX27	SUBUNIT: Component of the large ribosomal subunit (LSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX28	P0CX28	SUBUNIT: Component of the large ribosomal subunit (LSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX29	P0CX29	SUBUNIT: Component of the small ribosomal subunit (SSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX30	P0CX30	SUBUNIT: Component of the small ribosomal subunit (SSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX31	P0CX31	SUBUNIT: Component of the small ribosomal subunit (SSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX32	P0CX32	SUBUNIT: Component of the small ribosomal subunit (SSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX35	P0CX35	SUBUNIT: Component of the small ribosomal subunit (SSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX36	P0CX36	SUBUNIT: Component of the small ribosomal subunit (SSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX37	P0CX37	SUBUNIT: Component of the small ribosomal subunit (SSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). Interacts with snoRNA U3. uS11 interacts with MPP10. Component of the ribosomal small subunit (SSU) processome composed of at least 40 protein subunits and snoRNA U3 (PubMed:15590835). {ECO:0000269|PubMed:15590835, ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX38	P0CX38	SUBUNIT: Component of the small ribosomal subunit (SSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). Interacts with snoRNA U3. uS11 interacts with MPP10. Component of the ribosomal small subunit (SSU) processome composed of at least 40 protein subunits and snoRNA U3 (PubMed:15590835). {ECO:0000269|PubMed:15590835, ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX39	P0CX39	SUBUNIT: Component of the small ribosomal subunit (SSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX40	P0CX40	SUBUNIT: Component of the small ribosomal subunit (SSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX41	P0CX41	SUBUNIT: Component of the large ribosomal subunit (LSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX42	P0CX42	SUBUNIT: Component of the large ribosomal subunit (LSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX43	P0CX43	SUBUNIT: Component of the large ribosomal subunit (LSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes). uL1 forms part of the L1 stalk (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX44	P0CX44	SUBUNIT: Component of the large ribosomal subunit (LSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes). uL1 forms part of the L1 stalk (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX45	P0CX45	SUBUNIT: Component of the large ribosomal subunit (LSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX46	P0CX46	SUBUNIT: Component of the large ribosomal subunit (LSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX47	P0CX47	SUBUNIT: Component of the small ribosomal subunit (SSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX48	P0CX48	SUBUNIT: Component of the small ribosomal subunit (SSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX49	P0CX49	SUBUNIT: Component of the large ribosomal subunit (LSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). eL18 interacts with NAP1 (PubMed:18086883). {ECO:0000269|PubMed:18086883, ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX50	P0CX50	SUBUNIT: Component of the large ribosomal subunit (LSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). eL18 interacts with NAP1 (PubMed:18086883). {ECO:0000269|PubMed:18086883, ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX51	P0CX51	SUBUNIT: Component of the small ribosomal subunit (SSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX53	P0CX53	SUBUNIT: Component of the large ribosomal subunit (LSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX54	P0CX54	SUBUNIT: Component of the large ribosomal subunit (LSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX55	P0CX55	SUBUNIT: Component of the small ribosomal subunit (SSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX56	P0CX56	SUBUNIT: Component of the small ribosomal subunit (SSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX63	P0CX63	SUBUNIT: The capsid protein forms a homotrimer, from which the VLPs are assembled. The protease is a homodimer, whose active site consists of two apposed aspartic acid residues (By similarity). {ECO:0000250}.
P0CX64	P0CX64	SUBUNIT: The capsid protein forms a homotrimer, from which the VLPs are assembled. The protease is a homodimer, whose active site consists of two apposed aspartic acid residues (By similarity). {ECO:0000250}.
P0CX77	P0CX77	NA
P0CX78	P0CX78	NA
P0CX79	P0CX79	NA
P0CX80	P0CX80	NA
P0CX81	P0CX81	NA
P0CX82	P0CX82	SUBUNIT: Component of the large ribosomal subunit (LSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes). eL19 lies in close proximity to the binding site for eukaryotic initiation factor eIF4G (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX83	P0CX83	SUBUNIT: Component of the large ribosomal subunit (LSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes). eL19 lies in close proximity to the binding site for eukaryotic initiation factor eIF4G (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX84	P0CX84	SUBUNIT: Component of the large ribosomal subunit (LSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes). uL29 is associated with the polypeptide exit tunnel (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CX85	P0CX85	SUBUNIT: Component of the large ribosomal subunit (LSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes). uL29 is associated with the polypeptide exit tunnel (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P0CY06	P0CY06	SUBUNIT: Binds DNA with a high specificity in complex with an MCM1 dimer. Interacts with STE12. {ECO:0000269|PubMed:1756728, ECO:0000269|PubMed:8339934}.
P0CY08	P0CY08	SUBUNIT: Binds DNA with a high specificity as a heterotetramer consisting of an ALPHA2 dimer and an MCM1 dimer. Also binds DNA with a high specificity as a heterodimer of A1 and ALPHA2 in a/alpha diploid cells. Interacts with the general transcription repressor complex SSN6/TUP1. {ECO:0000269|PubMed:10759558, ECO:0000269|PubMed:12121651, ECO:0000269|PubMed:7498787, ECO:0000269|PubMed:7569974, ECO:0000269|PubMed:7995523, ECO:0000269|PubMed:8628280, ECO:0000269|PubMed:9490409, ECO:0000269|PubMed:9838003}.
P0CZ17	P0CZ17	NA
